Node,Latitude,Longitude
1.0,45.39920374580957,-93.4797129168747
2.0,45.40700459604611,-93.40351201923411
3.0,45.39400757751913,-93.42928119057173
4.0,45.39121884296564,-93.39014834411468
5.0,45.39446796707104,-93.37436169324367
6.0,45.39425162687642,-93.36303838885715
7.0,45.39898525528593,-93.33782716258156
8.0,45.40647607067043,-93.29043101063475
9.0,45.39202885460958,-93.29046059281619
10.0,45.3776257261154,-93.27570943619155
11.0,45.37757202380107,-93.30388384639687
12.0,45.377719533697594,-93.33478116227037
13.0,45.36325660705686,-93.27586440297277
14.0,45.36234762607382,-93.30252628823688
15.0,45.35240206402146,-93.33258075193687
16.0,45.327035183408356,-93.3321171995568
17.0,45.3366076098946,-93.30027592915492
18.0,45.33971583372342,-93.27514273069006
19.0,45.309398799421146,-93.28564642442844
20.0,45.30894694999916,-93.32678125273837
21.0,45.3107579641647,-93.36122452866314
22.0,45.33418599521189,-93.35611446911152
23.0,45.36487254766303,-93.35463523967489
24.0,45.354824182944995,-93.36743023232586
25.0,45.37390265477436,-93.37980555197153
26.0,45.34550129437351,-93.38144688204711
27.0,45.314585166571696,-93.3806661821837
28.0,45.31191394422887,-93.39728740528588
29.0,45.34185384688659,-93.39340349986858
30.0,45.357749030690144,-93.40425015742052
31.0,45.377335490045866,-93.43559793312608
32.0,45.375599144767975,-93.48483547485019
33.0,45.34615681008878,-93.49011081958619
34.0,45.34928017038811,-93.44324057188199
35.0,45.315288208190104,-93.43259733278113
36.0,45.30836233560725,-93.47090707059604
37.0,45.31594455836145,-93.49493001819836
38.0,45.28246217926927,-93.50175147371533
39.0,45.29227804157628,-93.4733869686523
40.0,45.29293489882214,-93.4302072849544
41.0,45.292725936050516,-93.39444561481844
42.0,45.28062464777123,-93.4678626458114
43.0,45.260613879492055,-93.49879477410627
44.0,45.259702496829064,-93.47837985620379
45.0,45.26343381614597,-93.4663231293642
46.0,45.266471568085365,-93.44993504760922
47.0,45.279600499298,-93.42767170480988
48.0,45.26886581648534,-93.42770194145247
49.0,45.274606464308654,-93.41040319013545
50.0,45.2544373213845,-93.43458251701432
51.0,45.25691933742909,-93.41777820184997
52.0,45.25475008111329,-93.39828747805691
53.0,45.24024711865134,-93.39455661430915
54.0,45.24165072548681,-93.40656605240102
55.0,45.230953150052684,-93.41415120366905
56.0,45.24186982207288,-93.4202998274089
57.0,45.24082646551447,-93.43813466901221
58.0,45.24674369660872,-93.45969388198942
59.0,45.239748324590494,-93.45911394559849
60.0,45.24239760944577,-93.47753781991734
61.0,45.245825129943086,-93.49508606865278
62.0,45.233389982876325,-93.48264353943811
63.0,45.23396224587766,-93.45909676953865
64.0,45.22908080548374,-93.44076381390909
65.0,45.221150893996935,-93.44305914904528
66.0,45.222631495598336,-93.42438188467925
67.0,45.22093157015162,-93.41424091122445
68.0,45.209540510165056,-93.41561201546914
69.0,45.19896845533891,-93.40196424129441
70.0,45.20292788451563,-93.39335886475637
71.0,45.21207003808628,-93.40148962457867
72.0,45.22047343416668,-93.40020057300835
73.0,45.2174747022766,-93.39074438441567
74.0,45.23638882685508,-93.38505906285322
75.0,45.26198080413955,-93.38734889029217
