Start_Node	End_Node	Travel_Time
194	34770	2.713523
195	34594	1.197346
195	34621	1.129385
195	54591	0.975392
196	34599	0.500446
196	54588	1.281485
197	34376	1.968992
197	34779	2.902777
198	40511	1.295608
199	34375	0.834854
199	34543	0.846323
200	34376	1.583723
200	34501	1.507454
200	34544	1.213962
201	34528	1.299715
201	34545	0.442292
202	40449	1.161115
203	34521	0.432115
204	34399	0.881262
205	34399	1.471500
205	40447	0.625431
206	40446	1.404162
207	40445	1.140900
207	50474	0.067662
208	7070	0.594808
208	7271	1.267154
209	34477	0.896700
210	6888	1.552246
210	18908	0.739523
211	34434	1.082192
211	40448	1.095092
212	40503	0.522600
213	34407	0.829385
214	34407	0.138346
215	6423	1.704485
215	34469	0.813485
216	6423	0.756462
216	34475	0.955800
217	34439	0.594831
217	34478	0.809054
218	40441	0.563608
219	40441	0.662331
219	40442	0.597877
220	40442	0.759438
221	40505	0.441900
222	40506	0.111831
223	25171	0.902423
224	5597	0.820315
224	5694	0.579415
225	5439	0.432808
225	5597	1.198408
226	40440	0.492000
227	40433	0.579092
228	40434	0.632100
229	40435	0.173862
230	40437	0.555992
231	40433	1.045569
231	40436	0.432346
232	40438	0.726900
233	29202	0.538915
233	40439	0.524931
234	40439	0.500700
235	29198	0.927254
235	29205	1.053462
236	5694	1.025562
236	5807	1.172977
237	5697	0.737031
238	5697	1.037538
239	40504	0.426808
240	5848	2.230477
241	34410	0.206885
242	40497	1.095185
243	34427	0.584862
244	40502	1.446369
245	7043	0.924185
245	40501	0.973892
246	40500	0.588208
247	40501	0.404585
248	40508	0.524400
249	40510	0.370569
250	34515	0.323723
251	34483	0.534923
252	40499	0.288577
253	34510	0.587215
254	7141	0.947100
254	40502	1.304169
255	40498	0.571272
256	34421	1.283736
257	7336	0.619848
258	7615	0.269496
258	34513	0.685992
259	7621	0.364728
260	34396	0.627240
261	31176	0.639360
262	7626	0.232008
263	31581	0.345000
264	31176	0.558576
265	7627	0.227400
266	7650	0.065664
267	54366	0.648432
268	31399	1.148568
269	6837	0.258456
270	31334	0.484200
271	40695	0.801888
272	40696	0.508056
273	54363	0.407088
274	31553	0.779496
274	31580	0.502056
275	31553	0.715368
275	31566	0.711288
276	7277	0.749472
277	31565	1.186032
277	40523	0.123912
278	7277	0.597408
279	31391	0.278784
279	31397	0.906336
280	31391	0.330672
281	40694	0.885048
282	31389	0.492432
283	7279	0.448848
283	31177	0.448824
284	19118	0.444624
285	25746	1.124631
285	54694	3.270277
286	25699	4.173554
286	25769	2.319646
287	25770	2.602892
287	25789	4.640746
287	54696	2.305892
288	25794	4.411385
288	54695	1.206300
289	25774	2.358785
289	25787	4.540315
290	40273	1.010262
291	40272	5.249769
291	40273	2.503062
292	25819	2.052092
292	40275	1.820354
293	26332	2.131962
293	26335	1.939754
294	26330	2.219908
295	40274	2.306931
296	40269	4.225754
296	40274	3.125677
297	40269	1.514885
298	40271	2.981792
299	25776	0.693462
300	25755	1.838700
301	25728	2.401823
302	25728	1.917462
303	25761	2.907346
303	25767	3.545608
303	54733	2.011708
304	25747	2.552838
304	25776	3.354808
305	25747	3.479469
306	25759	3.061338
306	40260	2.696908
307	40260	1.884323
308	25648	0.818838
309	25575	1.811700
310	40265	1.792200
311	25640	2.659754
312	25630	1.278854
313	25626	1.995069
313	25630	2.912885
314	25629	1.728600
314	54709	3.866008
315	25675	0.573208
316	25684	1.245900
317	40263	1.659208
318	25323	2.763392
318	26288	4.760262
319	25775	2.206754
319	26292	4.437900
320	40267	3.954923
320	40270	4.777777
321	40267	3.344285
322	40268	0.675508
323	26291	0.974238
323	26296	1.242438
324	26309	0.961315
325	40266	0.255208
326	26375	2.668362
326	26377	3.126369
327	26380	2.822908
